,ID,Street_cat,House №,Metro_cat,Time to metro,District_cat,Photos count
214,274455296,31,0,12,35.0,2,21
215,274838267,29,0,10,20.0,2,13
216,274905945,32,0,11,55.0,3,50
217,273089522,31,0,11,75.0,3,4
218,272169225,29,0,10,20.0,2,9
219,274177400,29,0,10,20.0,2,10
220,273379337,32,0,13,20.0,2,9
221,274164058,32,0,13,8.0,2,0
222,273764363,31,0,12,20.0,2,10
223,274173656,32,0,13,12.0,2,15
224,274063411,29,0,10,22.0,2,12
225,236543080,30,0,11,50.0,3,13
226,256888072,31,0,12,19.0,2,13
227,271083068,31,0,12,75.0,2,16
228,274622371,31,0,12,15.0,2,6
229,274917579,32,0,13,10.0,2,22
230,274922675,31,0,12,35.0,2,20
231,274482454,32,0,13,10.0,2,11
232,274099537,31,0,12,19.0,2,25
233,167911714,32,0,13,75.0,2,17
234,274632558,32,0,11,75.0,3,21
235,273080406,32,0,13,9.0,2,10
236,273202959,31,0,12,17.0,2,26
237,270816267,31,0,12,18.0,2,17
238,274580039,31,0,11,50.0,3,30
239,274945662,31,0,12,15.0,2,22
240,228335421,30,0,11,25.0,3,13
241,256834307,30,0,16,25.0,3,11
242,274687179,33,0,12,14.0,2,8
243,230487451,29,0,11,50.0,3,8
244,170068347,30,0,11,125.0,3,8
245,273476724,32,0,15,13.0,3,15
246,242234098,31,0,12,20.0,2,20
247,271203810,32,0,15,75.0,3,9
248,274831384,32,0,13,8.0,2,26
249,274091308,31,0,12,18.0,2,19
250,262355297,31,0,12,23.0,2,13
251,273815149,31,0,11,40.0,3,7
252,274259730,30,0,11,50.0,3,18
253,272275267,30,0,12,27.0,2,7
254,273151859,31,0,12,17.0,2,19
255,274846125,32,0,12,55.0,2,17
256,270525077,33,0,12,14.0,2,9
257,262081183,29,0,10,24.0,2,31
258,274460195,31,0,12,17.0,2,13
259,274974124,33,0,12,15.0,2,9
260,274055451,32,0,13,9.0,2,18
261,274393865,31,0,12,30.0,2,24
262,269265022,31,0,12,30.0,2,40
263,273593681,31,0,12,19.0,2,24
264,263724076,31,0,12,35.0,2,47
265,274689762,31,0,12,15.0,2,15
266,251618576,31,0,12,23.0,2,16
267,186299640,31,0,15,75.0,3,14
268,240575765,29,0,11,20.0,3,17
269,238230007,31,0,12,25.0,2,19
270,273672956,31,0,11,75.0,3,13
271,274667443,32,0,13,9.0,2,5
272,256518254,31,0,12,17.0,2,12
273,265357607,31,0,11,75.0,3,5
274,245971204,29,0,12,15.0,2,22
275,274344079,30,0,11,75.0,3,9
276,274267929,29,0,11,45.0,3,11
277,273318241,30,0,12,15.0,2,15
278,270883351,33,0,12,14.0,2,6
279,273780889,31,0,12,22.0,2,9
280,272536453,31,0,12,19.0,2,6
281,268878838,32,0,13,12.0,2,7
282,270572812,33,0,12,11.0,2,16
283,269471423,32,0,13,5.0,2,40
284,274741628,33,0,12,14.0,2,21
285,274812555,29,0,10,20.0,2,7
286,274939275,31,0,12,20.0,2,12
287,274891201,31,0,12,25.0,2,19
288,274792043,30,0,12,29.0,2,22
289,274557406,30,0,12,35.0,2,5
290,274537001,29,0,10,20.0,2,14
291,274866930,31,0,12,10.0,2,19
292,274917171,32,0,11,75.0,3,14
293,274040469,34,6,17,6.0,1,14
294,274159090,35,4,18,2.0,1,24
295,271705861,35,4,18,4.0,1,21
296,212024381,36,11,19,6.0,1,21
297,268876926,37,5,18,5.0,1,14
298,272945877,38,21,19,6.0,1,34
299,273737770,39,3,20,8.0,1,13
300,273632382,35,8,18,5.0,1,26
301,266473705,39,3,20,5.0,1,20
302,274665301,40,16,21,5.0,1,17
303,274239480,35,8,18,5.0,1,25
304,267738673,39,3,20,5.0,1,22
305,274547960,40,16,22,4.0,1,20
306,274968027,41,6,20,6.0,1,17
307,273781555,42,8,20,4.0,1,14
308,270949943,37,1,22,5.0,1,10
