ID,"Высота потолков, м",total_area,price,price_per_sqm,utility_payments,rooms_count,has_layout,layout_is_adjacent,layout_is_isolated,layout_is_studio,layout_is_unknown,parking_type,parking_is_unknown,renovation_grades,is_renovated,renovation_is_unknown,floor,storeys,first_floor,last_floor,residential_name,unknown_allowed,childrens,pets,is_home_series,elevator,balcony,Street_cat,House №,Metro_cat,Time to metro,District_cat,Photos count,rooms_layout_студия,rooms_layout_unknown,rooms_layout_изолированная,rooms_layout_смежная,rooms_layout_оба варианта,renovation_Без ремонта,renovation_Косметический,renovation_Евроремонт,renovation_unknown,renovation_Дизайнерский,trash_Да,trash_Нет,trash_unknown,home_type_старый фонд,home_type_сталинский,home_type_монолитно-кирпичный,home_type_блочный,home_type_unknown,home_type_монолитный,home_type_кирпичный,home_type_панельный
270190788,,134.0,300000.0,2238.805970149254,0,3,1,1,1,0,0,1,0,2,1,0,8,16,0,0,1,0,1,1,0,1,1,16,8,1,5.0,1,34,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
271265359,3.2,60.0,90000.0,1500.0,0,2,1,1,1,0,0,0,0,2,1,0,5,6,0,0,0,0,1,0,0,1,0,5,45,1,5.0,1,13,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
274289253,,85.0,150000.0,1764.7058823529412,0,3,0,0,0,0,1,0,1,3,1,0,7,7,0,1,0,1,0,0,0,0,1,5,15,2,7.0,1,16,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
274150874,,150.0,250000.0,1666.6666666666667,0,5,0,0,0,0,1,0,1,3,1,0,4,6,0,0,0,1,0,0,0,0,0,5,47,1,4.0,1,26,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
274849686,3.2,142.0,350000.0,2464.788732394366,0,4,1,1,1,0,0,1,0,2,1,0,12,13,0,0,1,1,0,0,0,1,0,3,17,1,5.0,1,14,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
274315381,,222.0,450000.0,2027.027027027027,0,5,0,0,0,0,1,0,1,2,1,0,7,9,0,0,1,0,1,1,0,1,1,10,8,2,6.0,1,33,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
273779074,3.6,60.0,120000.0,2000.0,1,2,0,0,0,0,1,0,1,,0,1,3,6,0,0,0,0,1,1,1,1,0,8,3,1,7.0,1,11,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
274217247,3.8,103.0,120000.0,1165.0485436893205,1,3,0,0,0,0,1,0,1,,0,1,2,3,0,0,0,0,1,0,1,0,0,5,31,1,8.0,1,15,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
272156997,3.2,170.0,175000.0,1029.4117647058824,1,5,0,0,0,0,1,0,0,2,1,0,5,5,0,1,0,0,1,1,0,1,0,14,23,3,5.0,1,17,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
274617827,,200.0,190000.0,950.0,1,5,0,0,0,0,1,0,1,2,1,0,3,3,0,1,0,0,1,1,0,0,0,10,9,3,8.0,1,22,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
274252871,3.0,105.0,240000.0,2285.714285714286,1,3,0,0,0,0,1,1,0,,0,1,6,17,0,0,1,0,1,1,0,3,1,16,8,1,5.0,1,14,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
269132104,3.0,60.0,250000.0,4166.666666666667,1,1,0,0,0,0,1,1,0,2,1,0,2,12,0,0,1,0,1,0,0,2,0,1,32,1,10.0,1,10,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
